NAME,latitude,longitude,TYPE,PRON. PERIOD,LOCATION,ORDER,TRANSLATION,PRON. CODE,RANK,PRONUNCIATION,ANCIENT LOC.,補足,郡レベル以上,豪族関連名である(国造、県主など),発音近い,古代地名と確認できる,個別の事情クリア,空き地(非重複),他国に近い(非飛び地),必須スコア,単独スコア,相関スコア,総合スコア
伊邪國,34.8819,136.58419,女王国L,同等,三重県鈴鹿市,13,伊勢,2,1,いせ,伊勢国造,,1,1,1,1,1,1,1,1,5,2,7
都支國,35.35273,137.18332,女王国M,魏晋,岐阜県土岐市,14,土岐,3,1,と1き1,刀支県主・美濃国土岐郡,,1,1,1,1,1,1,1,1,5,2,7
彌奴國,35.36645,136.53806,女王国M,魏晋,岐阜県不破郡垂井町,15,三野,3,1,み1の1,美濃県主・三野前国造,,1,1,1,1,1,1,1,1,5,2,7
好古都國,35.438333,137.017222,女王国M,後漢,岐阜県美濃加茂市,16,鴨・県,1,1,かも1・あがた,鴨県主・美濃国加茂郡,,1,1,1,1,1,1,1,1,5,2,7
不呼國,36.3386,137.88432,女王国L,後漢,長野県安曇野市,17,穂高,1,1,ほたか,信濃国安曇郡の穂高神社,,1,0,1,1,1,1,1,1,4,2,6
姐奴國,36.36041,138.21815,女王国M,魏晋,長野県上田市,18,科野,3,1,しなの1,科野国造,,1,1,1,1,1,1,1,1,5,2,7
對蘇國,33.37767,130.50632,女王国M,魏晋,佐賀県鳥栖市,19,鳥栖,3,1,と2す,肥前国養父郡鳥栖郷,,0,0,1,1,1,1,1,1,3,2,5
蘇奴國,34.48095,136.54613,女王国M,後漢,三重県多気郡多気町佐奈,20,佐那,1,1,さな,佐那県造,,1,1,1,1,1,1,1,1,5,2,7
呼邑國,34.34003084,134.0433035,女王国L,後漢,香川県高松市,21,香河,1,1,かがは,讃岐国香河郡,,1,0,1,1,1,1,1,1,4,2,6
華奴蘇奴國,33.99491,134.47333,女王国L,後漢,徳島県名東郡佐那河内村,22,長・佐那,1,1,なが・さな,長国造・佐那県,,1,1,1,1,1,1,1,1,5,2,7
鬼國,34.23031,135.17086,女王国M,魏晋,和歌山県和歌山市,23,紀,3,1,き2,紀国造,,1,1,1,1,1,1,1,1,5,2,7
爲吾國,34.76855,136.12992,女王国M,同等,三重県伊賀市,24,伊賀,2,1,いが,伊賀国造,,1,1,1,1,1,1,1,1,5,2,7
鬼奴國,36.39094,139.06026,女王国M,魏晋,群馬県前橋市,25,毛野,3,1,け2の1,毛野国,,1,0,1,1,1,1,1,1,4,2,6
邪馬國,37.59435,139.88714,女王国L,同等,福島県耶麻郡,26,耶麻,2,1,やま,陸奥国耶麻郡,,1,0,1,1,1,1,1,1,4,2,6
躬臣國,36.53831,140.53102,女王国L,魏晋,茨城県常陸太田市,27,久自,3,1,くじ,久自国造・常陸国久慈郡,,1,1,1,1,1,1,1,1,5,2,7
巴利國,34.82693,134.69031,女王国M,魏晋,兵庫県姫路市,28,針間,3,1,はりま,針間国造・播磨国,,1,1,1,1,1,1,1,1,5,2,7
支惟國,34.65539,133.91969,女王国M,魏晋,岡山県岡山市北区,29,吉備,3,1,きび2,吉備国,,1,1,1,1,1,1,1,1,5,2,7
烏奴國,34.53722,133.37871,女王国M,後漢,広島県福山市神辺,30,穴,1,1,あな,吉備穴国造・備後国安那郡,,1,1,1,1,1,1,1,1,5,2,7
奴國[2回目],36.34507,140.59984,女王国L,後漢,茨城県ひたちなか市,31,仲,1,1,なか,仲国造,,1,1,1,1,1,1,1,1,5,2,7
狗奴國,34.75037,137.92506,その他M,魏晋,静岡県袋井市久野,32,久努,3,1,くの1,久努国造・遠江国山名郡久努郷,,1,1,1,1,1,1,1,1,5,2,7
,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,0
不彌國,,,,,,,,,2,ほづみ1,播磨 賀茂 穂積,北部九州外,,,1,1,0,,,0,,,0
不彌國,,,,,,,,,2,ほづみ1,美濃 本巣 穂積,北部九州外,,,1,1,0,,,0,,,0
不彌國,,,,,,,,,2,ほづみ1,尾張  丹羽 穂積,北部九州外,,,1,1,0,,,0,,,0
不彌國,,,,,,,,,2,ほづみ1,摂津 嶋下 穂積,北部九州外,,,1,1,0,,,0,,,0
不彌國,,,,,奈良県天理市新泉町２８７,,,,2,ほづみ1,大和 	山辺△穂積,北部九州外。大日本地名辞書より現在地特定。現在地名残らず。,,,1,1,0,,,0,,,0
不彌國,,,,,,,,,2,ほうみ1,因幡国法美,"北部九州外,元は「はふみ」?",,,0,1,0,,,0,,,0
不彌國,,,,,,,,,2,ほそみ1,伯耆 	会見細見,北部九州外,,,1,1,0,,,0,,,0
投馬國,,,,,和歌山県和歌山市禰宜,9,津万,,2,つま,紀伊国名草郡津万神戸郷,,0,0,1,1,1,0,1,0,3,1,0
投馬國,,,,,鹿児島県鹿児島市,9,都万,,2,つま,薩摩国鹿児嶋郡都万郷,,0,0,1,1,1,1,0,1,3,1,4
投馬國,,,,,島根県隠岐郡隠岐の島町,9,都麻,,2,つま,隠岐国隠地郡都麻郷,,0,0,1,1,0,1,0,0,2,1,0
投馬國,,,,,滋賀県米原市朝妻筑摩,9,筑摩,,2,つかま,近江国坂田郡筑摩御厨郷,琵琶湖,0,0,1,1,0,1,0,0,2,1,0
投馬國,,,,,静岡県南伊豆町湊,9,月間,,2,つくま,伊豆国賀茂郡月間郷,,0,0,1,1,1,1,0,1,3,1,4
投馬國,,,,,兵庫県赤穂市,9,筑磨,,2,つくま,播磨国赤穂郡筑磨郷,,0,0,1,1,0,0,1,0,2,1,0
投馬國,,,,,福島県浪江町,9,津島,,2,つしま,陸奥国標葉郡津島村,,0,0,1,1,0,1,0,0,2,1,0
投馬國,,,,,岡山県岡山市北区津島,9,津嶋,,2,つしま,備前国御野郡津嶋郷,,0,0,1,1,1,0,1,0,3,1,0
投馬國,,,,,東京都北区滝野川,9,豊嶋,,2,と2しま,武蔵国豊嶋郡・下総国葛飾郡豊嶋郷,,1,0,0,1,1,1,0,0,3,1,0
投馬國,,,,,熊本県熊本市,9,当麻,,2,たぎま,肥後国益城郡当麻,現「とうま」,0,0,1,1,1,1,0,1,3,1,4
投馬國,36.16337118,140.3532796,,,茨城県小美玉市川中子,9,田余,,2,たまり,常陸国茨城郡田余郷,,0,0,1,1,0,1,1,0,2,2,0
投馬國,35.47703923,135.8204402,,,福井県三方上中郡若狭町,9,玉置,,2,たまき,若狭国遠敷郡玉置郷,,0,0,1,1,0,1,1,0,2,2,0
投馬國,34.63777705,131.6606608,,,山口県萩市下田万１０３６,9,多万,,2,たま,長門国阿武郡多万郷,,0,0,1,1,0,1,1,0,2,2,0
投馬國,32.93528604,130.5627707,,,熊本県玉名市岩崎１６３,9,玉杵名,,2,たまな,肥後国玉名郡,玉杵名 <紀>たまきな 4文字,1,0,0,1,1,1,0,0,3,1,0
投馬國,35.9905,140.48903,,,茨城県行方市麻生1561番地9,9,当麻,,2,たぎま,常陸国行方郡当麻郷,,0,0,1,1,0,1,1,0,2,2,0
投馬國,32.02241141,131.476981,,,宮崎県宮崎市佐土原町下田島,9,当磨,,2,たいま,日向国那珂郡△当磨駅,,0,0,1,1,0,1,1,0,2,2,0
投馬國,34.220917,133.673417,,,香川県三豊市詫間町詫間1138番地13,9,託間,,2,たくま,讃岐国三野郡託間郷,,0,0,1,1,1,1,1,1,3,2,5
投馬國,34.051,132.957139,,,愛媛県今治市神宮甲699,9,宅万,,2,たくま,伊予国濃満郡宅万郷,,0,0,1,1,0,1,0,0,2,1,0
投馬國,31.81347,130.30397,,,鹿児島県薩摩川内市神田町3番22号,9,託万,,2,たくま,薩摩国高城郡託万郷,,0,0,1,1,0,1,0,0,2,1,0
投馬國,34.99656,136.86472,,,愛知県知多市緑町1番地,9,但馬,,2,たじま,尾張国智多郡但馬郷,,0,0,1,1,0,1,1,0,2,2,0
投馬國,35.29208892,139.1974588,,,神奈川県小田原市田島,9,田嶋,,2,たじま,相模国足下郡☆田嶋,足柄下郡,0,0,1,1,0,1,0,0,2,1,0
投馬國,35.5445,134.82019,,,兵庫県豊岡市中央町2番4号,9,但馬,,2,たじま,但馬国,,1,1,1,1,0,1,0,0,4,1,0
投馬國,32.02241141,131.476981,,, 宮崎県宮崎市佐土原町下田島,9,田嶋,,2,たじま,日向国那珂郡田嶋郷,,0,0,1,1,0,1,0,0,2,1,0
投馬國,33.29172,132.54231,,,宇和島市吉田町立間,9,立間,,2,たちま,伊予国宇和郡立間郷,,0,0,1,1,0,1,0,0,2,1,0
斯馬國,,,,,福岡県糸島市志摩,11,志摩,,2,しま,筑前国志摩郡,伊都国に近すぎ,1,0,1,1,0,1,1,0,3,2,0
斯馬國,,,,,京都府京田辺市,11,志磨,,2,しま,山城国綴喜郡志磨郷,,0,0,1,1,1,1,1,1,3,2,5
斯馬國,,,,,愛知県津島市,11,志摩,,2,しま,尾張国海部郡志摩郷,,0,0,1,1,1,0,1,0,3,1,0
斯馬國,,,,,茨城県稲敷市,11,志万,,2,しま,常陸国信太郡志万郷,,0,0,1,1,1,1,1,1,3,2,5
斯馬國,,,,,茨城県ひたちなか市,11,志万,,2,しま,常陸国那賀郡志万,,0,0,1,1,1,0,1,0,3,1,0
斯馬國,,,,,茨城県常陸太田市,11,志万,,2,しま,常陸国久慈郡志万,,0,0,1,1,1,0,1,0,3,1,0
斯馬國,,,,,岐阜県揖斐郡揖斐川町,11,志麻,,2,しま,美濃国大野郡志麻郷,額田国造内,0,0,1,1,1,1,1,1,3,2,5
斯馬國,,,,,岐阜県美濃加茂市,11,志麻,,2,しま,美濃国賀茂郡志麻郷,,0,0,1,1,1,1,1,1,3,2,5
斯馬國,,,,,福井県小浜市,11,志摩,,2,しま,若狭国遠敷郡志摩郷,,0,0,1,1,1,1,0,1,3,1,4
斯馬國,,,,,富山県富山市,11,志麻,,2,しま,越中国新川郡志麻郷,,0,0,1,1,1,1,0,1,3,1,4
斯馬國,,,,,京都府南丹市,11,志麻,,2,しま,丹波国船井郡志麻郷,,0,0,1,1,1,1,0,1,3,1,4
斯馬國,,,,,京都府綾部市,11,志麻,,2,しま,丹波国何鹿郡志麻郷,,0,0,1,1,1,1,0,1,3,1,4
斯馬國,,,,,広島県神石高原町,11,志麻,,2,しま,備後国神石郡志麻郷,,0,0,1,1,1,0,1,0,3,1,0
斯馬國,,,,,鹿児島県曽於市,11,志摩,,2,しま,大隅国贈唹郡志摩郷・囎唹郡・曽於郡,,0,0,1,1,1,1,0,1,3,1,4
已百支國,,,,,鳥取県倉吉市,12,波伯吉,,2,ぱぱき1,波伯吉国・伯岐国造・伯耆国,已<->己<->巴の解釈の違いある模様。巴,1,1,1,1,1,1,0,1,5,1,6
伊邪國,,,,,茨城県筑西市西谷貝４６９,13,伊讃,,2,いさ,常陸国新治郡伊讃郷,常陸国真壁郡伊讃郷と連続とみなした。,0,0,1,1,0,1,1,0,2,2,0
伊邪國,,,,,茨城県筑西市西谷貝４６９,13,伊讃,,2,いさ,常陸国真壁郡伊讃郷,大日本地名辞書では下野国結城郡となっているが下総国の間違いだろう。太閤検地で郡の境界が動いているとのこと。,0,0,1,1,1,1,1,1,3,2,5
伊邪國,,,,,山口県美祢市伊佐町伊佐４８９１,13,位佐,,2,いさ,長門国美祢郡位佐郷,大日本地名辞書,0,0,1,1,1,1,1,1,3,2,5
伊邪國,,,,,愛媛県伊予市,13,伊余,,2,いよ2,伊余国造,,1,1,0,1,1,1,0,0,4,1,0
都支國,,,,,兵庫県美方郡新温泉町指杭,14,刀岐,,2,と1き1,但馬国二方郡刀岐,,0,0,1,1,1,1,0,1,3,1,4
都支國,,,,,奈良県奈良市都祁南之庄町,14,闘鶏,,2,つげ1,闘鶏国造・大和国山辺郡都祁,,1,1,0,1,1,1,1,0,4,2,0
都支國,,,,,岐阜県養老郡養老町,14,多芸,,2,たぎ1,美濃国多芸郡,,1,0,1,1,1,0,1,0,4,1,0
都支國,,,,,新潟県柏崎市,14,多岐,,2,たき1,越後国三嶋郡多岐郷,,0,0,1,1,1,1,0,1,3,1,4
都支國,,,,,島根県出雲市多伎町,14,多伎,,2,たき1,出雲国神門郡多伎,,0,0,1,1,1,1,0,1,3,1,4
彌奴國,,,,,神奈川県海老名市,15,美濃,,2,み1の1,相模国高座郡美濃郷,,0,0,1,1,1,1,0,1,3,1,4
彌奴國,,,,,富山県礪波市,15,三野,,2,み1の1,越中国礪波郡三野郷,,0,0,1,1,1,1,0,1,3,1,4
彌奴國,,,,,鳥取県西伯郡伯耆町,15,美濃,,2,み1の1,伯耆国会見郡美濃郷,,0,0,1,1,1,1,0,1,3,1,4
彌奴國,,,,,兵庫県姫路市,15,三野,,2,み1の1,播磨国飾磨郡三野郷,,0,0,1,1,1,0,1,0,3,1,0
彌奴國,,,,,岡山県岡山市,15,御野,,2,み1の1,三野国造,重複(吉備国),1,1,1,1,1,0,1,0,5,1,0
彌奴國,,,,,島根県益田市,15,美濃,,2,み1の1,石見国美濃郡,,1,0,1,1,1,1,0,1,4,1,5
彌奴國,,,,,香川県三豊市,15,三野,,2,み1の1,讃岐国三野郡・阿波国三好郡三野郷,,1,0,1,1,1,1,1,1,4,2,6
彌奴國,,,,,大阪府大阪市西成区,15,三野,,2,み1の1,凡河内国三野県主・摂津国西成郡三野郷,,0,1,1,1,1,1,1,1,4,2,6
好古都國,32.119639,130.348889,,,鹿児島県出水市下鯖町1272,16,国形,,2,くにがた,薩摩出水国形,,0,0,1,1,1,1,0,1,3,1,4
好古都國,34.379306,129.311861,,,長崎県対馬市豊玉町仁位,16,上県,,2,かみあがた,対馬国上県郡,,1,1,1,1,1,0,1,0,5,1,0
好古都國,34.71036,136.443,,,三重県安濃郡片田村,16,片県,,2,かたかた,伊勢国安濃郡片県郷,片田村?,0,0,1,1,1,1,1,1,3,2,5
好古都國,35.95653,140.32394,,,茨城県稲敷市犬塚1570番地1,16,子方,,2,こかた,常陸国信太郡子方郷,,0,0,1,1,1,1,1,1,3,2,5
好古都國,35.48399,136.72735,女王国M,後漢,岐阜県岐阜市石谷,16,方県,1,2,かたがた,美濃国方県郡,,1,0,1,1,1,1,1,1,4,2,6
好古都國,34.916666,134.965833,,,兵庫県加東市社,16,鴨・県,,2,かも1・あがた,播磨国賀茂郡・針間鴨国造,,1,1,1,1,1,1,1,1,5,2,7
好古都國,35.043611,135.770555,,,京都府京都市左京区下鴨本町,16,鴨・県,,2,かも1・あがた,鴨県主(山背国),,0,1,1,1,1,1,1,1,4,2,6
不呼國,,,,,保古山(岐阜県中津川市)?,17,保古,,2,ほこ1,保古山(岐阜県中津川市)?,,0,0,1,0,0,1,1,0,1,2,0
不呼國,,,,,,17,,,2,ほこ2,鉾神社,,,,0,0,,,,0,,,0
不呼國,,,,,茨城県鉾田市,17,鉾田,,2,ほこ2た,鉾田市(茨城県、仲国造に含まれる),,0,0,0,0,1,0,1,0,1,1,0
不呼國,,,,,兵庫県美方郡新温泉町,17,二方,,2,ふたかた,但馬国二方郡,,1,0,0,1,1,1,0,0,3,1,0
不呼國,,,,,岡山県高梁市布賀,17,布賀,,2,ふか,備中国川上郡穴斗郷布賀,中世地名か。 https://www.city.takahashi.lg.jp/site/koho/chimeioaruku014.html,0,0,1,0,1,1,1,1,2,2,4
不呼國,,,,,山形県飽海郡遊佐町吹浦川田,17,封戸,,2,ふこ1?,羽前国飽海郡封戸,現在は地名が残らず。大日本地名辞書,0,0,1,0,1,1,0,1,,,0
不呼國,,,,,岩手県北上市二子町宿東１２１,17,二子,,2,ふたこ1,陸中国和賀郡二子,大日本地名辞書,0,0,1,0,1,1,0,1,,,0
不呼國,,,,,神奈川県厚木市船子１１８７,17,船子,,2,ふなこ1,相摸国 愛甲郡船子,大日本地名辞書,0,0,1,0,1,1,0,1,,,0
不呼國,,,,,石川県七尾市古府町る−１−１,17,古府,,2,ふるこ,能登国鹿島郡古府,大日本地名辞書,0,0,0,0,1,1,0,0,,,0
不呼國,,,,,滋賀県高島市今津町保坂３２５−１,17,保坂,,2,ほさか,近江国高島郡保坂,大日本地名辞書,0,0,1,0,1,1,1,1,,,0
不呼國,,,,,山梨県韮崎市穂坂町宮久保,17,穂坂,,2,ほさか,甲斐国北巨麻郡穂坂,大日本地名辞書,0,0,1,0,1,1,0,1,,,0
不呼國,,,,,長崎県松浦市星鹿町下田免１７４−１,17,星鹿,,2,ほしか,肥前国松浦郡星鹿,大日本地名辞書,0,0,1,0,1,0,1,0,,,0
不呼國,,,,,島根県安来市伯太町未明２４６,17,未明,,2,ほのか,出雲国能義郡未明,大日本地名辞書,0,0,1,0,1,1,0,1,,,0
姐奴國,,,,,広島県広島市安芸区瀬野,18,瀬野,,2,せの1,安芸国安芸郡瀬野,大日本地名辞書,0,0,1,0,1,1,1,1,2,2,4
姐奴國,,,,,京都府京丹後市久美浜町,18,佐濃,,2,さの1,丹後国熊野郡佐濃郷,,0,0,1,1,1,1,0,1,3,1,4
姐奴國,,,,,兵庫県豊岡市上佐野,18,狭沼,,2,さの1,但馬国気多郡狭沼郷,,0,0,1,1,1,1,0,1,3,1,4
姐奴國,,,,,熊本県熊本市北区,18,佐野,,2,さの1,肥後国山本郡佐野郷,,0,0,1,1,1,1,0,1,3,1,4
蘇奴國,,,,,三重県伊賀市外山,20,佐那具,,2,さなぐ,伊賀国阿拝郡佐那具村,,0,0,1,0,1,0,1,0,2,1,0
蘇奴國,,,,,徳島県名東郡佐那河内村,20,佐那,,2,さな,長国・佐那県,,0,0,1,1,1,0,1,0,3,1,0
蘇奴國,,,,,滋賀県大津市,20,細浪,,2,ささなみ,細浪国・淡海国造,近江国風土記・近江国志賀郡・近江国高島郡・淡海国造別名か。,1,0,0,1,1,1,1,0,3,2,0
呼邑國,,,,,福岡県福岡市東区香椎,21,糟屋,,2,かすや,筑紫国糟屋郡,伊都国に近すぎ,1,0,0,1,0,1,1,0,2,2,0
呼邑國,,,,,兵庫県豊岡市引野,21,賀陽,,2,かや,但馬国気多郡賀陽郷,,0,0,0,1,1,1,0,0,2,1,0
呼邑國,,,,,鳥取県米子市下新印,21,蚊屋,,2,かや,伯耆国会見郡蚊屋郷,,0,0,0,1,1,1,0,0,2,1,0
呼邑國,,,,,姫路市夢前町前之庄,21,賀野,,2,かや,播磨国飾磨郡賀野郷,,0,0,0,1,1,1,1,0,2,2,0
呼邑國,,,,,福岡県糸島市志摩井田原,21,加夜,,2,かや,筑前国志麻郡加夜郷,伊都国に近すぎ,0,0,0,1,0,1,1,0,1,2,0
呼邑國,,,,,愛媛県松山市北条,21,風早,,2,かざはや,風早国造,,1,1,0,1,1,1,0,0,4,1,0
呼邑國,34.6911096,133.7751558,女王国L,後漢,岡山県総社市服部,21,加夜,1,1,かや,加夜国造・賀陽国造・備中国賀陽郡,,1,1,0,1,1,1,1,0,4,2,0
呼邑國,,,,,石川県金沢市,21,加我,,2,かが,加賀国加賀郡・加賀国石川郡・加我国造・賀我国造・加宜国造,,1,1,1,1,1,1,0,1,5,1,6
華奴蘇奴國,,,,,埼玉県児玉郡神川町字二ノ宮750,22,金佐奈,,2,かなさな,武蔵国児玉郡金佐奈神社,,0,0,1,1,1,1,0,1,,,0
鬼國,,,,,京都府京都市伏見区鷹匠町39番地の2,23,紀伊,,2,き2い,山城国紀伊郡,,1,0,1,1,1,1,1,1,,,0
鬼國,,,,,香川県観音寺市大野原町丸井３１３,23,紀伊,,2,き2い,讃岐国苅田郡紀伊郷,,0,0,1,1,1,1,1,1,,,0
鬼國,,,,,愛媛県今治市大西町別府,23,怪,,2,け2,怪島,,0,0,1,0,1,1,0,1,,,0
鬼國,,,,,佐賀県三養基郡基山町大字宮浦666番地,23,基肄,,2,き2,肥前国基肄郡,半分ぐらい鳥栖と重複,1,0,1,1,1,0,1,0,,,0
爲吾國,,,,,石川県金沢市,24,加我,,2,かが,加賀国加賀郡・加賀国石川郡・加我国造・賀我国造・加宜国造,,1,1,0,1,1,1,0,0,4,1,0
爲吾國,,,,,愛知県岡崎市伊賀町,24,位賀,,2,ゐが,参河国額田郡位賀,,0,0,1,1,1,1,1,1,3,2,5
鬼奴國,,,,,熊本県山鹿市菊鹿町木野,25,城野,,2,き2の1,肥後国菊池郡城野郷,,0,0,1,1,1,1,0,1,3,1,4
邪馬國,,,,,奈良県生駒郡平群町,26,夜麻,,2,やま,大和国平群郡夜麻,,0,0,1,1,1,1,1,1,3,2,5
邪馬國,,,,,三重県いなべ市北勢町,26,耶摩,,2,やま,伊勢国員弁郡耶摩,,0,0,1,1,1,0,1,0,3,1,0
邪馬國,,,,,兵庫県赤穂郡上郡町,26,野磨,,2,やま,播磨国赤穂郡野磨,,0,0,1,1,1,0,1,0,3,1,0
邪馬國,,,,,新潟県長岡市山古志,26,夜麻,,2,やま,越後国古志郡夜麻,,0,0,1,1,1,1,0,1,3,1,4
邪馬國,,,,,奈良県奈良市,26,山,,2,やま,大和国添上郡山,興福寺文書とのこと。山辺郷または山村郷か。,0,0,1,1,0,1,1,0,2,2,0
躬臣國,,,,,岩手県久慈市,27,久慈,,2,くじ,陸奥国糠部郡九戸久慈,倭名類聚抄に未記載。,0,0,1,0,1,1,0,1,2,1,3
躬臣國,34.9597,135.7192,,,京都府京都市南区久世中久町,27,訓世,,2,くぜ1,山城国乙訓郡訓世郷,,0,0,1,1,,,,0,,,0
巴利國,,,,,静岡県掛川市原里,28,幡羅,,2,はら,遠江国佐野(さや)郡幡羅郷,,0,0,1,1,1,1,0,1,3,1,4
巴利國,,,,,埼玉県深谷市東方町,28,幡羅,,2,はら,武蔵国幡羅郡,,1,0,1,1,1,1,0,1,4,1,5
巴利國,,,,,千葉県匝瑳市,28,原,,2,はら,下総国匝瑳郡原剛,,1,0,1,1,1,1,0,1,4,1,5
巴利國,,,,,広島県安佐北区,28,幡良,,2,はら,安芸国安芸郡幡良郷,,0,0,1,1,1,1,1,1,3,2,5
巴利國,,,,,徳島県阿南市那賀川町原,28,幡羅,,2,はら,阿波国那賀郡幡羅郷,,0,0,1,1,1,0,1,0,3,1,0
巴利國,,,,,香川県高松市牟礼町原,28,幡羅,,2,はら,讃岐国三木郡幡羅郷,,0,0,1,1,1,1,1,1,3,2,5
巴利國,,,,,香川県高松市,28,幡羅,,2,はら,讃岐国香河郡*幡羅郷・讃岐国香河郡*原郷,,0,0,1,1,1,1,1,1,3,2,5
巴利國,,,,,熊本県阿蘇市,28,波良,,2,はら,肥後国阿蘇郡波良郷,,0,0,1,1,1,1,0,1,3,1,4
巴利國,,,,,熊本県熊本市,28,波良,,2,はら,肥後国託麻郡波良郷,,0,0,1,1,1,1,0,1,3,1,4
支惟國,,,,,和歌山県有田郡吉備町下津野2018-4,29,吉備,,2,き1び2,紀伊国在田郡吉備,紀伊国に含まれるか?,0,0,1,1,1,1,1,1,,,0
烏奴國,,,,,京都府長岡京市神足,30,小野,,2,をの1,山城国乙訓郡*小野郷,,0,0,0,1,1,1,1,0,2,2,0
烏奴國,,,,,京都府京都市左京区,30,小野,,2,をの1,山城国愛宕郡小野郷,,0,0,0,1,1,1,1,0,2,2,0
烏奴國,,,,,京都府京都市山科区小野西浦,30,小野,,2,をの1,山城国宇治郡小野郷,,0,0,0,1,1,1,1,0,2,2,0
烏奴國,,,,,愛知県犬山市,30,小野,,2,をの1,尾張国丹羽郡小野郷,,0,0,0,1,1,1,1,0,2,2,0
烏奴國,,,,,静岡県磐田市見付,30,小野,,2,をの1,遠江国磐田郡小野郷,,0,0,0,1,1,0,0,0,2,0,0
烏奴國,,,,,東京都府中市,30,小野,,2,をの1,武蔵国多磨郡小野郷,,0,0,0,1,1,1,0,0,2,1,0
烏奴國,,,,,千葉県銚子市,30,小野,,2,をの1,下総国海上郡小野郷,,0,0,0,1,1,1,0,0,2,1,0
烏奴國,,,,,茨城県稲敷市,30,小野,,2,をの1,常陸国信太郡小野郷,,0,0,0,1,1,1,1,0,2,2,0
烏奴國,,,,,群馬県富岡市,30,小野,,2,をの1,上野国甘楽郡小野郷,小野村は小野小町由来とのことで小野郷と違う?,0,0,0,1,0,0,1,0,1,1,0
烏奴國,,,,,群馬県藤岡市森,30,小野,,2,をの1,上野国緑野郡小野郷,,0,0,0,1,1,0,1,0,2,1,0
烏奴國,,,,,群馬県渋川市小野子,30,小野,,2,をの1,上野国群馬郡小野郷,,0,0,0,1,1,0,1,0,2,1,0
烏奴國,,,,,福島県白河市東下野出島坂口,30,小野,,2,をの1,陸奥国白河郡小野郷,,0,0,0,1,1,1,1,0,2,2,0
烏奴國,,,,,福島県田村郡小野町,30,小野,,2,をの1,陸奥国安積郡小野郷,,0,0,0,1,1,1,1,0,2,2,0
烏奴國,,,,,宮城県柴田郡川崎町小野,30,小野,,2,をの1,陸奥国柴田郡小野郷,,0,0,0,1,1,1,0,0,2,1,0
烏奴國,,,,,富山県小矢部市,30,小野,,2,をの1,越中国礪波郡小野郷,,0,0,0,1,1,1,0,0,2,1,0
烏奴國,,,,,新潟県佐渡市中原,30,小野,,2,をの1,佐渡国雑太郡小野郷,,0,0,0,1,1,1,0,0,2,1,0
