KEY,latitude,longitude,status_code,出土状況,古墳特定,集成編年,時期,コメント,文献
京都・北山,34.943783,135.697757,2,0,1,3-4,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
京都・園部垣内,35.115335,135.475025,2,0,1,3-4,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
兵庫・東求女塚(後円部主体),34.713031,135.26444,2,0,1,3,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
兵庫・西求女塚,34.704836,135.226435,2,0,1,4,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
大阪・万年山,34.814019,135.64392,2,0,1,3,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
大阪・和泉黄金塚(東主体),34.51345,135.457494,2,0,1,4,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
大阪・庭鳥塚,34.533102,135.609793,2,0,1,-,古墳前期後半,4世紀中 古墳時代前期から中期 前方後方墳|粘土槨 [1]。,[1] 羽曳野市教育委員会 2010 『羽曳野市埋蔵文化財調査報告書66：庭鳥塚古墳調査報告書』羽曳野市教育委員会  https://sitereports.nabunken.go.jp/ja/17384 。
奈良・メスリ山(主室),34.49897238,135.8476764,2,0,1,3,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
奈良・佐味田宝塚,34.55625166,135.7264051,2,0,1,3,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
奈良・新山,34.53237135,135.7354735,2,0,1,3,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
滋賀・雪野山,35.07666019,136.1445299,2,0,1,3,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
熊本・城ノ越,32.672091,130.650772,2,0,1,3,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
神奈川・加瀬白山(後円部主体),35.504906,139.556744,2,0,1,3,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
神奈川・真土大塚山(中央主体),35.35962321,139.3477909,2,0,1,3?,古墳前期後半?,前方後方墳。3期かややさかのぼるが状況不明[1]。3期[2]。 ,[1] 神奈川県考古学会 2000 『第５回考古学講座ー神奈川の古墳」討論会・成果集』神奈川県考古学会  https://sitereports.nabunken.go.jp/19109   [2] 神奈川県考古学会 1995 『考古論叢神奈河4』神奈川県考古学会 https://sitereports.nabunken.go.jp/18856 
福岡・老司(3号主体),33.546641,130.41908,2,0,1,4,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
群馬・赤城塚,36.26416586,139.6128724,2,0,1,-,古墳前期後半?,辻田2007「I ?」。p.122図4より3期相当[1]。,[1]早稲田大学東アジア都城・シルクロード考古学研究所 2018 『早稲田大学東アジア都城・シルクロード考古学研究所　研究論集第１冊：野本将軍塚古墳と東国の前期古墳』早稲田大学東アジア都城・シルクロード考古学研究所 https://sitereports.nabunken.go.jp/71712
群馬・蟹沢,36.313319,139.056496,2,0,1,-,古墳前期後半?,柴崎蟹沢古墳/大類村18号墳。歴博報56、古墳前期-古墳（円墳、粘土槨）[1]。  p.122図4より3期相当[2]。,[1]歴博報56。 https://www.i-repository.net/il/meta_pub/G0000556remains_2854  [2]早稲田大学東アジア都城・シルクロード考古学研究所 2018 『早稲田大学東アジア都城・シルクロード考古学研究所　研究論集第１冊：野本将軍塚古墳と東国の前期古墳』早稲田大学東アジア都城・シルクロード考古学研究所 https://sitereports.nabunken.go.jp/71712
静岡・上平川大塚,34.707133,138.081318,2,0,1,3,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
静岡・新豊院山D2号(後円部主体),34.771417,137.874455,2,0,1,3,古墳前期後半,3期[1]。,[1] 早稲田大学東アジア都城・シルクロード考古学研究所 2018 『早稲田大学東アジア都城・シルクロード考古学研究所　研究論集第１冊：野本将軍塚古墳と東国の前期古墳』早稲田大学東アジア都城・シルクロード考古学研究所  https://sitereports.nabunken.go.jp/71712 。
静岡・牛王堂山3号,35.04375269,138.4715019,2,0,1,3-4,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
静岡・経塚,34.72276316,137.8904264,2,0,1,3,古墳前期後半,連城寺経塚古墳?,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
静岡・赤門上,34.7880695,137.7528429,2,0,1,3-4,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
静岡・連福寺,34.70926,137.857387,2,0,1,3,古墳前期後半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
鳥取・国分寺(第1主体),35.431054,133.789275,2,0,1,3-4,古墳前期後半,国分寺宮ノ峰遺跡?,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
兵庫・森尾(第2主体),35.521735,134.867027,2,0,1,-,古墳前期後半?,歴博報56、古墳前期-古墳（方墳、竪穴式石室）[1] 。「4世紀代前半までの様相...森尾古墳に至る出発点ともいえる立石107－1号墳・北浦18号境のような首長墓の前段階」[2]。「ガラス製勾玉や石杵などは、...古墳の築造年代を四世紀後半と考えることができる。」[3]。銅鏃、銅鏡などに古い様相(4世紀代)、石杵やガラス製勾玉などに新しい要素(4世紀後半から5世紀代)を認める[4]。前期前半[5],[1] 歴博報56  https://www.i-repository.net/il/meta_pub/G0000556remains_215015   。[2] 兵庫県教育委員会埋蔵文化財調査事務所 1994 『兵庫県文化財調査報告136：山崎山古墳群発掘調査報告』兵庫県教育委員会 https://sitereports.nabunken.go.jp/18793 [3]「森尾古墳」 兵庫県1992『兵庫県史』p.577  https://ndlonline.ndl.go.jp/#!/detail/R300000003-I9576679-00  。[4]瀬戸谷晧「森尾古墳の再検討」（『北浦古墳群　豊岡中核工業団地予定地内埋蔵文化財発掘調査報告』2、p.89-109、1980）。[5]谷澤亜里(2020)『玉からみた古墳時代の開始と社会変革』p.280-292、同成社。
兵庫・森尾(第3主体),35.521735,134.867027,2,0,1,-,古墳前期後半?,兵庫・森尾(第2主体)参照,
奈良・池ノ内5号(第2主体),34.49661958,135.8323806,2,0,1,-,古墳前期後半?,奈良県桜井市池之内。歴博報56、古墳前期-古墳（円墳、割竹形木棺（木棺直葬））[1]。 前期後半から中期初頭にかけての池ノ内古墳群[2]。  ,[1] 歴博報56。 https://www.i-repository.net/il/meta_pub/G0000556remains_243127   [2] 桜井市埋蔵文化財 発掘調査報告書　第４０集 纏向遺跡発掘調査概要報告書 http://www.makimukugaku.jp/pdf/gaihou.pdf 。[X] [本文未確認] 奈良教育委員会「磐余・池ノ内古墳群」1973   。
三重・草山久保,34.552609,136.540291,2,0,1,-,古墳前期後半,"歴博報56、古墳前期-古墳（円墳）三重県松阪市久保町草山[1] 。 本墳は伊勢地方で最も早い4世紀後半頃に築造された(注: もっと早い遺跡ある) [2]。仿製三角縁神獣鏡と共伴(集成編年2期以降)[3]。 「伊勢地域の場合、古墳前期前半にさかのぼる定形化した大型墳は見られない。」p401[4],  「4世紀中葉代に想定できるが、・・・。」p402[4] 「4世紀後半代に築かれた」 p503[4]。  ",[1] 歴博報56。 https://www.i-repository.net/il/meta_pub/G0000556remains_158537   [2]「久保古墳」松坂市   https://www.city.matsusaka.mie.jp/site/culture-info/kubokohun.html 。 [3]  https://researchmap.jp/read0066418/published_papers/32626882/attachment_file.pdf 。[4] 『三重県史 資料編 考古1』三重県、2005年。 
兵庫・西野山3号,34.857254,134.381946,2,0,1,-,古墳前期後半?,古墳時代前期[1]。 歴博報56、古墳前期-古墳（円墳、粘土槨+割竹形木棺）[2]。正福寺北谷田古墳(3C後半)、大避山1号墳(3C後半)、西野山3号墳(4C前半)、前方後円墳ないし前方後方墳[3]。前期後半[4]。,[1] 西野山3号墳出土遺物 文化遺産オンライン  https://bunka.nii.ac.jp/heritages/detail/278243 。[2]歴博報56  。 https://www.i-repository.net/il/meta_pub/G0000556remains_234846   [3]上郡町史 第1巻 (本文編 1) p.158-176。[X] (調査中) 松岡 秀夫 1984 『有年考古館研究報告1：兵庫県赤穂郡西野山第3号墳』有年考古館  https://sitereports.nabunken.go.jp/69069 。[4]谷澤亜里(2020)『玉からみた古墳時代の開始と社会変革』p.280-292、同成社。
岐阜・東天神1号,35.221594,136.598979,1,0,1,-,古墳前期?,東天神狐塚古墳とも。「4世紀後半から7世紀前半頃」[1]。「東天神18号墳ー円満寺山古墳(※2期)という順序を想定しておきたい」[2]。『東天神神社境内内封土見取図』から-社殿裏 -> 1、1 -> 7、18 -> 狐山(三角縁神獣鏡出土)とリネーム、ただし目録では1号墳となっている[3]。,"[1]東天神古墳 | 海津市 https://www.city.kaizu.lg.jp/kurashi/0000001293.html  [2]岩本崇 (2008). 「三角縁神獣鏡と東海地方の前期古墳」 in 「季刊考古学」 別冊16, p.13-21。[3]龍谷大学考古学資料室(1981)『東天神古墳群6・7・8号墳』南濃町文化財発掘調査報告2"
岐阜・一輪山,35.405165,136.929923,1,0,1,-,古墳前期?,歴博報56、古墳前期-古墳（円墳）[1]。 4世紀後半[2]。  4世紀後半[3]。 目安として一輪山古墳 - 東之宮古墳(前期中葉)の順 [4]。4世紀後半[5]。,"[1] 歴博報56。 https://www.i-repository.net/il/meta_pub/G0000556remains_121110   [2] 各務原市教育委員会(H6) 「かかみがはらの古墳」 https://www.city.kakamigahara.lg.jp/_res/projects/default_project/_page_/001/005/328/kohun.pdf 。 [3] 西村勝広 et al. (2012)「各務原市鵜沼に築造された坊の塚古墳の設計について」第24回中部地盤工学シンポジウム  https://jgs-chubu.org/wp-content/uploads/pdfupload/download/syn5/pdf/24/s2420.pdf 。[4]岩本崇 (2008). 「三角縁神獣鏡と東海地方の前期古墳」 in 「季刊考古学」 別冊16, p.13-21。[5]各務原市教育委員会 編（1983）『各務原市史』考古・民俗編　考古 p.379-380  https://ndlonline.ndl.go.jp/#!/detail/R300000001-I000001636560-00 。"
兵庫・コヤダニ,34.351481,134.876956,1,0,1,-,古墳前期,歴博報56、古墳前期-古墳（竪穴式石室）[1]。前期ないし中期。小型の竪穴式石室らしい[2]。,[1] 歴博報56  https://www.i-repository.net/il/meta_pub/G0000556remains_211227   。[2]櫃本誠一・松下勝 (1984)「淡路」『日本の古代遺跡3・兵庫県南部』第3章 p.210-249 https://ndlonline.ndl.go.jp/#!/detail/R300000001-I000001678340-00
兵庫・牛谷天神山,34.793418,134.760489,1,0,1,-,古墳前期,古墳（円墳） 歴博報56、古墳前期-古墳[1]。,[1] 歴博報56  https://www.i-repository.net/il/meta_pub/G0000556remains_219603 
岡山・秦上沼,34.67949804,133.7096865,1,0,1,-,古墳前期,金子14号墳 （秦上沼古墳）古墳時代前期[1]。前期古墳、墳丘の形状や規模は明らかでない[2]。,[1] 総社市教育委員会 2010 『総社市埋蔵文化財調査年報19：総社市埋蔵文化財調査年報19平成20年度』総社市教育委員会  https://sitereports.nabunken.go.jp/4668 。[2] (33) 中田啓司「秦上沼古墳」「総社市史」p.197-197 考古資料編総社市1987年。 https://ndlonline.ndl.go.jp/#!/detail/R300000001-I000001865917-00
岡山・一宮天神山1号,34.68807603,133.859694,1,0,1,-,古墳前期,辻田2007「I ?」。 歴博報56、古墳前期-古墳（円墳、竪穴式石室） [1] 。「飯盛山古墳（10）は・・・一宮天神山1号境に後出し、一宮天神山2号境に併行するか、やや古い時期に築造」2-3期か。一宮天神山2号墳3～4／2飯盛山古墳3～4[2],[1] 歴博報56 https://www.i-repository.net/il/meta_pub/G0000556remains_276026  。[2]岡山市教育委員会 1999 『宗形神社古墳』 https://sitereports.nabunken.go.jp/4989  。
群馬・前橋天神山,36.36495789,139.104137,1,0,1,3,古墳前期?,[0]3。[1]4世紀前半、[2]p.122図4より2-3期相当、,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。 - [1]前橋市教育委員会 2015 『群馬の古墳時代はここから始まった　朝倉・広瀬古墳群』 - https://sitereports.nabunken.go.jp/16308 。[2]早稲田大学東アジア都城・シルクロード考古学研究所 2018 『早稲田大学東アジア都城・シルクロード考古学研究所　研究論集第１冊：野本将軍塚古墳と東国の前期古墳』早稲田大学東アジア都城・シルクロード考古学研究所 https://sitereports.nabunken.go.jp/71712 。
岐阜・内山1号,35.498272,136.813064,1,0,1,2-3,古墳前期,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.htm l 。
長野・森将軍塚(後円部主体),36.531037,138.137492,1,0,1,1-3,古墳前期,ばらつきが大きい。４世紀中頃の築造[1]。埴輪は川西I期、後円部石室から布留式古段階並行期の土器[2]=集成編年2期?。,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html   。[1] 埴科古墳群 :: 国指定文化財等データベース https://kunishitei.bunka.go.jp/heritage/detail/401/1190  。[2]史跡森将軍塚古墳 : 保存整備事業発掘調査報告書(更埴市、森将軍塚古墳発掘調査団、1992)。 [X] (調査中)千曲市教育委員会『千曲市森将軍塚古墳館 ガイドブック』（千曲市森将軍塚古墳館、2005年）。
滋賀・織部山,34.98796677,135.9203654,0,0,1,-,古墳前期前半,織部古墳とも。歴博報56、古墳前期-古墳（円墳、粘土槨）[1]。粘土槨や竪穴式石室の構造とらず、葺石、埴輪なし、伴出土器は庄内期[2]。,[1]歴博報56。 https://www.i-repository.net/il/meta_pub/G0000556remains_167862   [2]丸山竜平(1984)、滋賀県百科事典刊行会編『滋賀県百科事典』p.134-134、大和書房。
奈良・鴨都波1号,34.46005618,135.7326008,0,0,1,-,古墳前期前半?,古墳時代前期の古墳[1]。小規模な方墳、前期[2]。 前期中葉[3]。前期中葉、円筒埴輪編年I期[4]。 ,[1] 御所市教育委員会 2010 『御所市文化財調査報告書36：今出遺跡第5次』御所市教育委員会 https://sitereports.nabunken.go.jp/457 。[2] 御所市教育委員会 2012 『御所市文化財調査報告書43：櫛羅城跡』御所市教育委員会 https://sitereports.nabunken.go.jp/112 。[3] 御所市教育委員会 2007 『御所市文化財調査報告書30：巨勢山古墳群Ⅵ』御所市教育委員会 https://sitereports.nabunken.go.jp/19649 。[4]  御所市教育委員会編2001『鴨都波１号墳　調査概報』p.56-63 学生社。 
滋賀・古冨波山,35.07873682,136.0319086,0,0,1,-,古墳前期前半?,「富」表記もあるが「冨」が正しいらしい。 歴博報56、古墳前期-古墳（円墳、木棺直葬）[1]。古墳時代初頭の3世紀後半頃の築造と推定される[2]。古富波山古墳出上のS字口縁甕は伴出遺物からも庄内期のもの[3]。,"[1]歴博報56。 https://www.i-repository.net/il/meta_pub/G0000556remains_171806   [2]市教育委員会説明版 https://ja.wikipedia.org/wiki/%E5%8F%A4%E5%86%A8%E6%B3%A2%E5%B1%B1%E5%8F%A4%E5%A2%B3  [3]滋賀県教育委員会,滋賀県文化財保護協会 1977 『ほ場整備関係遺跡発掘調査報告書4-2：ほ場整備関係遺跡発掘調査報告書4-2』滋賀県教育委員会 https://sitereports.nabunken.go.jp/4841 。"
福岡・大日,33.57410869,130.2105764,0,0,1,-,古墳前期前半?,泊大日古墳? 「泊地区では、三角縁神獣鏡の関連鏡群である神仙騎獣鏡2 面（註12）を出土した泊大日古墳（78）は前期初頭の可能性があり（墳丘詳細不明）」 [1]。,[1]福岡市教育委員会 2006 『福岡市埋蔵文化財調査報告書909：元岡・桑原遺跡群6』福岡市教育委員会 https://sitereports.nabunken.go.jp/20377 。
福岡・藤崎遺跡第1地点,33.580269,130.35044,0,0,1,-,古墳前期前半?,第1地点=第32次1号墳?。6号ではない。「1号周溝墓が明治45年発見の箱式石棺であると考えた。 藤崎石棺出土鏡の万が出土時期が一時期古いと考える（雪野山はIB期併行） 箸墓古墳の時期（布留0式）に併行」[1]。32次1号墓の三角縁盤龍鏡は明治45年発見鏡 3次6号墓の三角縁二神二車馬鏡[2] 藤崎7号墳 三角縁神獣鏡 1期後葉[3]。,[1]福岡市教育委員会 2004 『福岡市埋蔵文化財調査報告書824：藤崎遺跡15』福岡市教育委員会 https://sitereports.nabunken.go.jp/20150 。 [2]博物館もよりの砂丘遺跡－西新町・藤崎遺跡－| アーカイブズ | 福岡市博物館 (H26) http://museum.city.fukuoka.jp/archives/leaflet/436/index03.html 。[3]柳沢一男 著 https://miyazaki-u.repo.nii.ac.jp/?action=repository_action_common_download&item_id=4131&item_no=1&attribute_id=19&file_no=1 。
鳥取・普段寺2号,35.363472,133.355301,0,0,1,-,古墳前期前半?,方墳または円墳、、1号墳と2号墳の新古関係が...2号墳が時期的に先行する (注:1号墳2-3期)[1]。,[1]2008 『島根大学考古学研究室調査報告10：普段寺古墳群I』島根大学法文学部考古学研究室  https://sitereports.nabunken.go.jp/2567
京都・寺戸大塚(後円部主体),34.955689,135.688658,0,0,1,2,古墳前期前半,集成編年を優先。前期後半[1]。,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html   。[1]谷澤亜里(2020)『玉からみた古墳時代の開始と社会変革』p.280-292、同成社。
京都・椿井大塚山,34.765398,135.850389,0,0,1,1,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
京都・西山2号(中央主体),34.866723,135.783831,0,0,1,-,古墳前期前半?,京都府城陽市久世下大谷 、京都府久津川古墳群中 方墳。「西山２号墳は前期でも比較的早い段階に築造された方墳」[1]。歴博報56、古墳前期-古墳（方墳、粘土槨+割竹形木棺）、方墳[2]。,[1]同志社大学歴史資料館館報第16号 同志社大学所蔵城陽市西山２号墳出土資料調査報告 http://hmuseum.doshisha.ac.jp/html/research/report/report2017_16/2017nishiyama.pdf 。[2]歴博報56。 https://www.i-repository.net/il/meta_pub/G0000556remains_184721 
兵庫・吉島,34.937273,134.545755,0,0,1,1,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
兵庫・権現山51号,34.799549,134.553113,0,0,1,1,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
大分・赤塚,33.543677,131.365665,0,0,1,1,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
大阪・安満宮山,34.865641,135.636311,0,0,1,-,古墳前期前半,3世紀後半の早い段階（古墳前期-古墳（長方形墳）1）[1]。,[1] 高槻市立埋蔵文化財調査センター 2000 『高槻市文化財調査報告書21：安満宮山古墳』高槻市教育委員会他 https://sitereports.nabunken.go.jp/ja/4606
奈良・桜井茶臼山,34.51188252,135.8570591,0,0,1,2,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
奈良・黒塚,34.56003145,135.8431553,0,0,1,2,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
山口・宮ノ洲,33.98959428,131.8658458,0,0,1,-,古墳前期前半?,下松市東豊井宮ノ洲。古墳時代前期4世紀[1]。四世紀初め[2]。,[1]e国宝 - 宮ノ洲古墳出土品 http://emuseum.nich.go.jp/detail?langId=ja&webView=&content_base_id=100605&content_part_id=0&content_pict_id=0 。[2]ADEAC（アデアック）：デジタルアーカイブシステム https://trc-adeac.trc.co.jp/WJ11E0/WJJS06U/3520705100/3520705100100010/ht010180 。
山口・竹島御家老屋敷,34.05125959,131.7596585,0,0,1,2,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
岡山・湯迫車塚,34.701947,133.97576,0,0,1,1,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
岡山・郷観音山,35.066608,133.918251,0,0,1,2,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
島根・八日山1号,35.5064421,133.1276483,0,0,1,-,古墳前期前半,松江市新庄町 方墳(東西辺23.5m) 中海沿岸 古墳前期前葉 小谷2式(神原神社と同じ、布留1)の可能性高い[1]。 ,[1]加茂町教育委員会 2002 『神原神社古墳』加茂町教育委員会  https://sitereports.nabunken.go.jp/2419
島根・神原神社,35.348266,132.895814,0,0,1,-,古墳前期前半,歴博報56、古墳前期-古墳（方墳、竪穴式石室+割竹形木棺） [1]。古墳前期前葉 小谷2式[2]。,[1]歴博報56。 https://www.i-repository.net/il/meta_pub/G0000556remains_271880  [2]加茂町教育委員会 2002 『神原神社古墳』加茂町教育委員会  https://sitereports.nabunken.go.jp/2419
広島・中小田1号,34.447856,132.495138,0,0,1,2,古墳前期前半,集成編年を優先。前期後半[1]。,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html   。[1]谷澤亜里(2020)『玉からみた古墳時代の開始と社会変革』p.280-292、同成社。
広島・潮崎山,34.540933,133.284789,0,0,1,1-2,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
徳島・宮谷(前方部墳丘裾),34.056117,134.468313,0,0,1,1-2,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
福井・花野谷1号(第1主体),36.042152,136.290077,0,0,1,-,古墳前期前半,3世紀末から4世紀初め頃の直径約20mの円墳[1]。1号墳の築造時期は古墳時代前期前半と考えられる[2]。4世紀前半頃[3]。,[1]古墳の世界　ふくいの王の姿（第2展示室） | 福井市ホームページ https://www.city.fukui.lg.jp/kankou/bunka/bunkazai/kohunnnosekai.html 。[2]2012 『福井市古墳発掘調査報告書1』福井市教育委員会  https://sitereports.nabunken.go.jp/77244 。[3]福井市教育委員会 2001 『花野谷1号墳発掘調査概報』福井市教育委員会 https://sitereports.nabunken.go.jp/94141
