字,Pinyin,MC等,MC声調,OCBS,OCZ,LH,WJ,ONW,MC,その他のコメント
盧,lú,1,平声,#,b·raː,lɑ,#o,#,luo,"b·raa (先秦Z2013), (廬ではないことに注意)"
,,,,,魚,魚,魚,,模,4
LH,lɑ,ra,ra,,,,,,,
WJ,(l)o,ro,"ro1, ru",,,,,,,
伊,yī,3,平声,ʔij,qlil,ʔi,#jiəi,ʔii,ʔiɪ,qlil (先秦Z2013)
,,,,,脂,脂,脂,,脂,"5,12,"
LH,ʔi,i,i1,,,,,,,
WJ,(ʔ)jiəi,"jəi, jəCi, jə","i2, je2, jo2Ci1, jo2",,,,,,,
都,dū,1,平声,tˤa,taː,tɑ,#o,#,tuo,all (dou)は無視した。taa (先秦Z2013)
,,metropolis,,,魚,魚,魚,,模 ,"5,13,15"
LH,(tɑ),ta`,ta`,I:先秦・隋唐との比較。M:1等よりiなし、先秦・魏晋比較よりuなし。R:魚より韻ɑ。,,,,,,
WJ,(t)o,to`,"to1`, tu`",,,,,,,
奴,nú,1,平声,nˤa,naː,nɑ,#,no,nuo,naa (先秦Z2013)
,,,,,魚,#,#,,模,"6.14,17,19,21,24,29,30,31"
LH,nɑ,na,na,,,,,,,
WJ,(no),no,"no1, nu",M:1等より-j-なし、先秦・後漢・ONW比較より-u-なし。R:「魚」部WJ -o。,,,,,,西漢韻部「魚」，南北朝「魚虞模」
不,bù,3,入声,#,pɯ',# (弗put),#,#,pɨut̚,pɯ’ ＞pɯd (先秦Z2013)
,not,21497,,,物1,#,#,,物,"7,16"
LH,(pət),"pə`, pə`tV`","po2`, po2`tV`",(Schuessler 2007)「弗」 LH putが後に「不」に反映されたとして入声は未掲載だが，(兪 1984)は後漢期にSkt. pūrにあてた例があり入声-tあったとする。M:R: (Schuessler 2007)はlabial dissimilation (Sec. 11.10.3)より弗-utとするが魏晋期との整合性から-ətを仮定。-u-は不8692と同等とみて無しと仮定。,,,,,,([Schuessler2007]弗 LHC putが後に「不」に反映されたとしてこの発音は未掲載。(兪 1984)に梵語pūrにあてた例があり入声あったと思われる。[Wiktionary] 弗 ->不の置き換えは前漢・昭帝の名を避けるためとするがソース不明。[Takashima1996]ではなかった。 hhttps://en.wiktionary.org/wiki/%E4%B8%8D 三国志、漢書では弗はほとんど出ないので既に不だろう。)(物LHC mut 韻部「質」LHC tśit 押韻せず。「邑」参照。)
WJ,(puət),"pə`, pə`tV`","po2`, po2`tV`",M:3等だが-j-は無し(不8692参照)。-u-は後漢に無いが(不8692)の魏晋期は-ouでlabial dissimilationの影響ありか(?)。R:「物」と先秦・隋唐で韻が一致し3等かつ頭子音がlabialなので魏晋でも同韻と仮定，また「拂」Jin (pʰ-?)-ətなどよりWJ -ət。,,,,,,
不,fǒu,3,上声,#,pɯʔ,puǝ > pu,#,pu,pɨu,pɯʔ (先秦Z2013)
,13934,not / Alt. form of 否,,,之,#,#,,有,(see above)
LH,p(əʔ),(声調以外8692と同じ),,8692と声調を除いて同じと仮定。,,,,,,
WJ,(pouʔ),(声調以外8692と同じ),,8692と声調を除いて同じと仮定。,,,,,,
不,fōu,3,平声,pə,pɯ,puǝ > pu,#jou,#,pɨu,pɯ (先秦Z2013)
,8692,not / a surname,,,之,之,幽,,尤,(see above)
LH,(pə),pə`,po2`,"M:3等だが13934(上声)のONWが-j-無しなので-j-無しと推定(本論文3.1節)。-u-後述。R: (Schuessler 2007)はlabial dissimilation (Sec. 11.10.3)より-uとするが韻部「之」LH -ə，かつ『漢魏音』巻1,一部,鄭元(鄭玄)注釈「丕讀曰不」丕OCBS pʰrə > MC pʰɣiɪ より-əを裏付け-u-なしと推測。",,,,,,(一方[Schuessler2007] は 11.10.4 Labial dissimilation with open / velar final syllablesよりOC pə > LHC puとしているが、之と押韻できない。)
WJ,(p)ou,"po`Cu, po`, pu`","po1`Cu, po1`, pu`",M:3等だが13934(上声)のONWが-j-を持たないことから-j-なしと推定(本論文3.1節参照)。,,,,,,
不,fōu,3,去声,#,#,pu,#,pu,#,
,19520,(?) Original form of 柎,,,#,#,#,,宥,(see above)
LH,p(əh),(声調以外8692と同じ),,"8692と声調を除いて同じと仮定。去声より-hを推定(本論文3.1，[Pulleyblank1973], [Schuessler2007] 3.4)",,,,,,
WJ,(pouh),(声調以外8692と同じ),,"8692と声調を除いて同じと仮定。去声より-hを推定(本論文3.1，[Pulleyblank1973], [Schuessler2007] 3.4)",,,,,,
彌,mí,3,平声,m-nə[r],mnel,mie,#jiei,mie,miᴇ,mnel ＞mei. neelʔ (先秦Z2013)。上声もあるが無視した。 
,,,,,歌,支,支,,支,"7,14"
LH,mie,"mi, me","mi1, me1",,,,,,,
WJ,(m)jiei,"mi, me","mi1, me1",,,,,,,
投,tóu,1,平声,[d]ˤo,doː,do,#ou,dou,dəu,doo (先秦Z2013)
,,,,,侯,#,幽,,侯,8
LH,d(ɑ) ,ta`,ta`,R:西漢で魚部，後漢魚部-ɑとの押韻事例(鈴木 2022)より推定(「狗」参照) 。,,,,,,(西漢韻部「魚」。韻はɑの可能性高い? 後漢「魚」部押韻事例。http://suzukish.s252.xrea.com/search/xianqin/index.php?yunzi=%E6%8A%95)
WJ,(d)ou,"to`Cu, to`, tu`","to1`Cu, tu`Cu, to1`, tu`",,,,,,,
臺,tái,1,平声,lˤə,dɯː,də,#əї	,#,dʌi,dɯɯ (先秦Z2013)
,,,,,之,之,咍,,咍,9
LH,də,tə`,to2`,,,,,,,([Schuessler2007]嬯 servant or slave womanと同一視されている。d-であるべき。Schuessler2009修正済み)
WJ,(d)əї,"tə`, tə`Cu, tu`","to2`, to2`Cu, tu`",,,,,,,
斯,sī,3,平声,"[s]e, se",se,sie,#jiei,se ,siᴇ,se (先秦Z2013)
,,,,,支,支,支,,支,10
LH,sie,"si`, se`","si1`, se1`",I:先秦・隋唐と比較より。,,,,,,
WJ,(s)jiei,"si`, se`","si1`, se1`",,,,,,,
已,yǐ,3,上声,ɢ(r)əʔ,lɯʔ,jǝ > jɨ,#jəї,iə,jɨ,lɯʔ (先秦Z2013)
,10493,to stop,,,之,之,之,,止,11
LH,jə(ʔ),jə,jo2,,,,,,,(異説:[Coblin1977] p.242 glosses of Cheng Hsuan 里讀爲已とのこと。里 LHC liə^B)。
WJ,()jəї(ʔ),"jə, jəCu, ju","jo2, jo2Cu, ju",I:後漢，ONW、隋唐より 仮定。,,,,,,їは中舌気味とのこと(7母音?)。
已,yǐ,3,去声,#,#,#,#,#,jɨ,
,15431,"Used after predicates, especially noun predicates, to express a new realization by the speaker.",,,#,#,#,,志,(see above)
LH,(jəh),(声調以外10493 | ・ | ・ と同じ),,I:M:R: 10493と同じと仮定。C:去声より-hを推定(不19520参照),,,,,,
WJ,(jəїh),(声調以外10493 | ・ | ・ と同じ),,I:M:R: 10493と同じと仮定。C:去声より-hを推定(不19520参照),,,,,,
百,"bǎi, bó",2,入声,pˤrak,praːɡ,pak,#rak,pëk,pɣæk̚,praaɡ (先秦Z2013)
,,,,,鐸,鐸,藥,,陌,11
LH,p(ɣ)ak,"pa`, pa`kV`","pa`, pa`kV`",,,,,,,
WJ,(pɣ)ak,"pa`, pa`kV`","pa`, pa`kV`",M:rは消滅と推定(->「馬」)。,,,,,,
好,hǎo,1,上声,qʰˤuʔ,qʰuːʔ,hou,#au,hɑu,hɑu,qʰuuʔ (先秦Z2013)
,12966,good,,,幽1,幽,豪,,晧,15
LH,(qʰɑ)u(ʔ),"kau, ka, kaCu, ku","ko1, ka, kaCu, ku",I:先秦の音を推定(本論文3.2節)。R: (Schuessler 2007) 12.1.1. universal vowel bending (非3等)を2段階として-ɑuと推定，また(兪 1984)梵語音訳で後漢期にoにLH幽部の非三等をあまり用いない，また幽部と宵部LH -au魚部LH-ɑの合韻傾向あり(鈴木 2022)，などの裏付け。,,,,,,(? 幽部-宵部-魚部の合韻傾向あり。幽 LHC ʔiu との押韻は厳密でない。老 LH lou 保LH pouB 道LH douB 舅 LH guC 「宵」部 槁 LH khauB(易林) 妙 LH miauC  「魚」部 女與宇哺(易林) http://suzukish.s252.xrea.com/search/xianqin/index.php?yunzi=%E5%A5%BD)  (兪 1984)梵語oにLH幽部の非三等が少ない。
WJ,(h)au(ʔ),?,?,I:隋唐の音を仮定(本論文3.2節参照)。,,,,,,
好,hào,1,去声,qʰˤuʔ-s,qʰuːs,hou,#au,#,hɑu,qʰuus (先秦Z2013)
,18677,to like,,,幽1,幽,豪,,號,(see above)
LH,(qʰɑ)u(h),(声調以外12966と同じ),,I:(声調以外12966と同じ)。C:去声より-hを推定(不19520参照),,,,,,
WJ,(h)au(h),(声調以外12966と同じ),,I:(声調以外12966と同じ)。C:去声より-hを推定(不19520参照),,,,,,
古,gǔ,1,上声,kˤaʔ,kaːʔ,kɑ > kɔ ,#o,ko,kuo,kaaʔ (先秦Z2013)
,,,,,魚,魚,魚,,姥,15
LH,kɑ,ka`,ka`,,,,,,,
WJ,(k)o,ko`,"ko1`, ku`",,,,,,,
呼,hū,1,平声,qʰˤa,qʰaː,hɑ,#o,#,huo,qʰˤa-s去声の場合は無視した。qʰaa. qʰaas (先秦Z2013)。去声の場合は無視した。
,,,,,魚,#,魚,,模,"16,20"
LH,(qʰ)ɑ,ka,ka,I:先秦の音を仮定(「好」12966参照)。,,,,,,
WJ,(h)o,?,?,I:隋唐の音を仮定(「好」12966参照)。,,,,,,
姐,jiě,3,上声,#,ʔsjaːʔ,#,#,#,t͡sia,ʔsjaaʔ (先秦Z2013)
,,,,,魚,#,#,,馬,17
LH,(ʔsiaʔ),"sia, siCa, sa","se1, si1{a}, sa",I:先秦の子音を推定(本論文3.3節)。M:先秦・隋唐より-i-。R:先秦・隋唐より-a。,,,,,,
WJ,(ʔsjaʔ),"sia, siCa, sa","se1, si1{a}, sa",I:先秦の子音を推定(本論文3.3節)。M:先秦・隋唐より-j-，R:先秦・隋唐より-a。,,,,,,
蘇,sū,1,平声,s-ŋˤa,sŋaː,sɑ,#o,so,suo,sŋaa (先秦Z2013)
,,,,,魚,魚,魚,,模,"18,19,21"
LH,sɑ,sa`,sa`,,,,,,,
WJ,(s)o,so`,"so1`, su`",,,,,,,
邑,yì,3b,入声,q(r)[ə]p,qrɯb,ʔɨp,#jəp,#,ʔɣiɪp̚,qrɯb (先秦Z2013)
,,,,,緝1,緝,緝,,緝,20
LH,ʔ(ɣɨə)p,"guCə, gə, gəpV`","gu`Co2, go2, go2pV`",M:等が重紐3bよりOC r > ɣ説（「馬」参照）。等3よりUniversal vowel bending適用で介音ɨ と仮定(?)。R:先秦BSおよび魏晋より-əpを推定， (王 2014)も緝部*-əpとしているほか職部LH -ǝk繹部 LH -ak ~ -ɑk などの押韻例あり(鈴木 2022)。 ,,,,,,"(緝LHC未掲載。同じ緝韻部 入ńip 習zip 集dzip 立lip で[Schuessler2007]は-ipを想定しているが[Ting1971]元音*i和*ə在*-n、*-t和*-j前合流。 なので-pは対象外。[王力1985]?も緝部*-əpとしている。國LH kuǝk 繹 LH jak ~ jɑk などの押韻例あり。 https://zh.wikipedia.org/wiki/%E6%BC%A2%E4%BB%A3%E9%9F%B3%E7%B3%BB    http://suzukish.s252.xrea.com/search/xianqin/index.php?yunzi=%E9%82%91 ) (甲 LHC kap, 魏晋#rap)"
WJ,(ʔɣ)jəp,"jə, jəpV`","jo2, jo2pV`",I:後漢，隋唐よりʔ-を推定。M: OC r > ɣ説（「馬」参照）。,,,,,,
華,huā,2,平声,qʷʰˤra,qʰʷra,ɣua,#ra,#,hɣua,qʰʷraa (先秦Z2013)
,6806,Alt. form of 花,,,魚,歌,歌,,麻,21
LH,(qʰua),"kua, kuCa, ka","ko1, kuCa, ka","I:先秦の音を仮定(「好」12966参照)。M: OC r > ɣ説（「馬」参照），(Coblin 1977) OC円唇化軟口蓋音(labiovelar, Kʷ) のwは漢代に分離，介音化したのでqʰʷの場合も-u-を推定(本論文3.1節)。R:「歌」部より韻aを推定(邪6757参照)。",,,,,,
WJ,(hˠu)a,?,?,I:隋唐の音を仮定(「好」12966参照)。M: OC r > ɣ説（「馬」参照），介音-u-を推定(華6806後漢参照)。,,,,,,
華,huá,2,平声,N-qʷʰˤra,ɡʷra,ɣua,#ra,ɣuä,ɦɣua,ɢʷraa (先秦Z2013)
,6789,brilliance,,,魚,歌,歌,,麻,(see above)
LH,ɣua,"gua, guCa, ga","go1, guCa, ga",（手順通りならばɡɣ-（鄭張系統）が妥当だが変更しないでおく。）,,,,,,(順序間違えの根拠:6806を採用すると同音の花の方が一般的かつ清音カとしては呼の方が自然なので華を使う必要がない。6789を採用すると語頭濁音となる。)
WJ,(ɦɣu)a,"gua, guCa, ga","go1, guCa, ga",I: (Coblin 1977) ɡ > WJ ɦ（本論文3.2節）。M: OC r > ɣ説（「馬」参照），-u-を推定(華6806後漢参照)。,,,,,,
華,huà,2,去声,[ɢ]ʷˤra-s,ɡʷraːs,#,#,#,ɦɣua,ɢʷraas (先秦Z2013)
,18917,Mount Hua,,,魚,#,#,,禡,(see above)
LH,ɣua(h),(華: 声調以外6789とだいたい同じ),,去声より-hを推定(不19520参照),,,,,,
WJ,(ɣu)a(h),(華: 声調以外6789とだいたい同じ),,I:M:声調以外6789と同じと仮定。C:去声より-hを推定(不19520参照)。,,,,,,
鬼,guǐ,3,上声,k-ʔujʔ,kulʔ,kui,#,kui,kʉi,kulʔ (先秦Z2013)
,,,,,微,脂,#,,尾,22
LH,kui(ʔ),"kui`, ku`Ci","ki2`, ku`Ci1",,,,,,,
WJ,(kuəiʔ),"ku'Cə, ku'Cəi, kəi`, kə`Ci, kə`","ku`Co2, ku`Ce2, ku`Ci2, ke2`, ki2`, ko2`Ci1, ko2`",M:3等だが後漢-ONWに-i-が無いため-j-は無し、上古音由来-u-を残す(「對」参照)。R:「尾」と先秦・隋唐で同じ韻部なので-əiを推定。,,,,,,
爲,wèi,3b,去声,ɢʷ(r)aj-s,ɢʷals,wɑi,#jei,#,ɦɣiuᴇ,"為:,爲, 為:, 爲(為), 為, 爲: : :: ɢʷrals (先秦Z2013)"
,14875,"為, for",,,歌1,#,支,,寘,23
LH,(ɢueh),(爲:声調以外833と同じ),,I:M:R:833と声調以外同じと仮定。C:去声より-hを推定(不19520参照),,,,,,
WJ,(ɦu)ei(h),(爲:声調以外833と同じ),,I:M:R:833と声調以外同じと仮定。C:去声より-hを推定(不19520参照),,,,,,
爲,wéi,3b,平声,ɢʷ(r)aj,ɢʷal,wɑi,#jei,ue,ɦɣiuᴇ,"為:,爲, 為:, 爲(為), 為, 爲: : :: ɢʷal (先秦Z2013)"
,833,"為, to do",,,歌1,支,支,,支,(see above)
LH,(ɢue),"guCe, gu, ge","guCe1, gu, ge1",I:先秦の音を推定 (本論文3.2節)。M:ɢʷのwより-u-推定(華6806参照)，3等だが-u-のためuniversal vowel bending せず-i-無しと推定。R:支部より韻-eを推定。,,,,,,(西漢では韻部「歌」なので爲西漢 wai > LHC wa > LHC wieか? 「邪」後漢も参照。) (LFK OC gwjar)
WJ,(ɦu)ei,"we, wi, ui","we1, wi1, i2",I:魏晋期にɢ > ɦと仮定(本論文3.2節)。M:ONW，後漢から-u-推定 (華6806後漢参照)，3等だが後漢-ONWから-j-なしと推定(不8692参照)。,,,,,,(ʑ-説、([Coblin1977]z'(palatal)の可能性あり)。)。
吾,wú,1,平声,ŋˤa,ŋaː,ŋɑ,#o,ŋo,ŋuo,ŋaa (先秦Z2013)
,2776,"I, my",,,魚,#,魚,,模,23
LH,ŋɑ,ga,ga,,,,,,,(西漢韻部:模)
WJ,(ŋ)o,go,"go1, gu",,,,,,,
吾,yá,2,平声,ŋra,ŋraː,#,#,#,ŋɣa,ŋraa (先秦Z2013)
,6913,Only used in 允吾,,,魚,#,#,,麻,(see above)
LH,(ŋɣa),ga,ga,I:R:隋唐，先秦より推定。M: OC r > ɣ説（「馬」参照）。,,,,,,
WJ,(ŋɣa),ga,ga,I:R:隋唐，先秦より推定。M: OC r > ɣ説（「馬」参照）。,,,,,,
躬,gōng,3,平声,k(r)uŋ,kuŋ,kuŋ,#jong,kuŋ,kɨuŋ,kuŋ (先秦Z2013)
,,,,,終,冬,冬,,東,26
LH,kuŋ,ku`,ku`,,,,,,,(-ŋは後続が濁音であることを表す。) (冬 LHC touŋ で押韻微妙)
WJ,(ku)oŋ,"ku`Co, ku`, ko`","ku`Co1, ku`Cu1, ku`, ko1`",M:上古音由来-u- (對参照)，3等だが後漢-ONWより-j-無し(不8692参照)。,,,,,,(-ŋは後続が濁音であることを表す。) (-ungでは??)
臣,chén,3,平声,[ɡ]i[ŋ],ɡiŋ,ɡin> dźin,#jiən,dźin,d͡ʑiɪn,ɡiŋ (先秦Z2013)
,,,,,眞,真,真,,真,26
LH,gin,"ginV, gi","gi1nV, gi1",,,,,,,"(一部のOC g>d͡ʑ palatalizationはLHCから始まるとしているのでd͡ʑの可能性ありか。https://en.wikipedia.org/wiki/Eastern_Han_Chinese) (OC -ŋが再構されておりLH,WJ -nではなかった可能性がある。)"
WJ,(d͡ʑ)jiən,"si`nV, si`, se`nV, se`","si1`nV, si1`, se1`nV, se1`",I:口蓋音化の時期不明，隋唐より仮定(本論文3.4節)。,,,,,,"R:(兪 1984)梵語-in,-anにあてられており-enを推定(王力説)。(支部と同様にi,eを含める)(子音は口蓋音だが日琉祖語では非口蓋音zi, diのため対応しない?「真」部の非口蓋音としては秦がある)。"
巴,bā,2,平声,pˤra,praː,pa,#ra,pä,pɣa,praa (先秦Z2013)
,,,,,魚,#,歌,,麻,27
LH,p(ɣ)a,pa`,pa`,M: OC r > ɣ説（「馬」参照）。,,,,,,
WJ,(pɣ)a,pa`,pa`,M: OC r > ɣ説（「馬」参照）。,,,,,,
利,lì,3,去声,C.ri[t]-s,rids,lis,#jiəd,li,liɪ,rids/rils (先秦Z2013)
,,,,,至1,脂,脂,,至,27
LH,lis,"risV`, ri","ri1{s`}, ri",,,,,,,(去声-sは何故か? 同じ韻で梨li 平声もある) (? 脂 LHC tśi と押韻せず)
WJ,(l)jiə(s),"riəsV`, riə, riCə, rə, rəsV`, ri, risV`","re1{s`}, re1, ri1{o2}, ro2, ro2{s`}, ri1, ri1{s`}",C:MC去声-iより-sを推定(對参照)。,,,,,,(去声-əsは何故か? 同じ韻で梨 #jiəi 平声もあるが-əiとなり違う二重母音になる。単音əの表現のためか。ljiaのようなl-で「歌」韻-aでdiv III音はないらしい) (? 脂 ♯jiəi と押韻せず)
惟,wéi,3,平声,ɢʷij,ɢʷi,wi,#jiəi,iui,jiuɪ,ɢʷij (先秦Z2013)
,,,,,脂2,脂,脂,,脂,28
LH,ɢui,"gui, gu, gi","gi2, gu, gi1",I:先秦の音を推定(爲833参照)。M: w-を介音-u-とみなす(華6806参照)。,,,,,,
WJ,()ji(u)əi,"jəi, jəCi, jə, wəi, wəCi, wə","je2, ji2, jo2Ci1, jo2, we2, wi2, wo2Ci1, wo2",I:魏晋期にɢ > ɦ (爲833参照)かつ口蓋音化ɦj > jと仮定(時期不明，(Baxter-Sagart 2014b) Sec.4.1.2)。M:後漢より-u-推定(華6806後漢参照)。,,,,,,
烏,"wū, wù",1,平声,"[ʔ]ˤa, qˤa, ʔˤa",qaː,ʔɑ,#o,ʔo,ʔuo,qaa (先秦Z2013)
,,,,,魚,魚,魚,,模,29
LH,ʔɑ,a,a,,,,,,,
WJ,(ʔ)o,o,"o1, u",,,,,,,
